iter	Passed	Remaining
417	2094	2916
418	2098	2910
419	2103	2904
420	2107	2898
421	2111	2891
422	2115	2886
423	2122	2883
424	2127	2877
425	2132	2872
426	2137	2867
427	2141	2862
428	2145	2855
429	2150	2850
430	2155	2845
431	2158	2838
432	2164	2833
433	2168	2828
434	2172	2821
435	2176	2815
436	2181	2810
437	2185	2804
438	2189	2797
439	2194	2792
440	2199	2787
441	2203	2781
442	2207	2775
443	2211	2769
444	2217	2765
445	2221	2759
446	2225	2753
447	2230	2748
448	2233	2741
449	2237	2734
450	2244	2732
451	2251	2729
452	2255	2723
453	2260	2718
454	2265	2713
455	2269	2707
456	2272	2700
457	2277	2695
458	2282	2689
459	2285	2683
460	2290	2677
461	2306	2685
462	2311	2680
463	2315	2675
464	2319	2668
465	2324	2663
466	2329	2659
467	2334	2653
468	2340	2649
469	2345	2644
470	2349	2638
471	2353	2632
472	2359	2628
473	2364	2623
474	2367	2616
475	2372	2611
476	2377	2606
477	2381	2601
478	2385	2595
479	2391	2591
480	2395	2585
481	2399	2578
482	2405	2574
483	2409	2568
484	2413	2562
485	2417	2556
486	2422	2551
487	2428	2547
488	2432	2541
489	2437	2537
490	2441	2531
491	2446	2526
492	2450	2520
493	2456	2515
494	2460	2509
495	2464	2504
496	2469	2499
497	2473	2493
498	2477	2487
499	2481	2481
500	2486	2476
501	2490	2470
502	2493	2464
503	2497	2458
504	2502	2453
505	2506	2447
506	2510	2441
507	2515	2436
508	2520	2431
509	2525	2426
510	2529	2420
511	2535	2416
512	2540	2411
513	2544	2406
514	2549	2401
515	2554	2396
516	2559	2390
517	2564	2386
518	2569	2380
519	2572	2374
520	2576	2368
521	2581	2363
522	2584	2357
523	2587	2350
524	2591	2344
525	2596	2339
526	2599	2333
527	2603	2327
528	2607	2321
529	2612	2316
530	2616	2310
531	2621	2305
532	2624	2299
533	2630	2295
534	2635	2290
535	2639	2284
536	2643	2279
537	2648	2274
538	2651	2268
539	2655	2262
540	2661	2258
541	2665	2252
542	2669	2246
543	2673	2240
544	2678	2235
545	2682	2230
546	2686	2225
547	2690	2219
548	2695	2214
549	2698	2208
550	2702	2202
551	2706	2196
552	2711	2191
553	2715	2185
554	2718	2179
555	2722	2174
556	2727	2168
557	2732	2164
558	2736	2158
559	2740	2152
560	2745	2148
561	2749	2143
562	2755	2138
563	2760	2134
564	2764	2128
565	2767	2122
566	2771	2116
567	2776	2111
568	2779	2105
569	2783	2100
570	2791	2097
571	2795	2091
572	2799	2086
573	2803	2080
574	2807	2075
575	2811	2069
576	2814	2063
577	2818	2058
578	2824	2053
579	2828	2048
580	2833	2043
581	2837	2037
582	2841	2032
583	2845	2027
584	2849	2021
585	2853	2016
586	2858	2010
587	2861	2005
588	2866	1999
589	2886	2006
590	2890	2000
591	2894	1995
592	2898	1989
593	2903	1984
594	2907	1979
595	2910	1973
596	2914	1967
597	2919	1962
598	2924	1957
599	2928	1952
600	2931	1946
601	2936	1941
602	2941	1936
603	2945	1931
604	2950	1926
605	2955	1921
606	2959	1916
607	2963	1910
608	2968	1906
609	2973	1900
610	2977	1895
611	2981	1890
612	2986	1885
613	2989	1879
614	2993	1873
615	2996	1868
616	3001	1863
617	3004	1857
618	3009	1852
619	3013	1846
620	3017	1841
621	3022	1836
622	3025	1831
623	3033	1828
624	3038	1822
625	3042	1817
626	3045	1811
627	3051	1807
628	3055	1802
629	3058	1796
630	3064	1791
631	3068	1786
632	3071	1780
633	3075	1775
634	3079	1770
635	3084	1765
636	3087	1759
637	3091	1754
638	3096	1749
639	3100	1743
640	3103	1738
641	3106	1732
642	3112	1727
643	3116	1722
644	3120	1717
645	3124	1712
646	3128	1707
647	3132	1701
648	3137	1697
649	3141	1691
650	3146	1686
651	3151	1681
652	3154	1676
653	3158	1671
654	3163	1666
655	3166	1660
656	3171	1655
657	3174	1649
658	3179	1645
659	3183	1639
660	3187	1634
661	3192	1629
662	3195	1624
663	3199	1619
664	3203	1613
665	3207	1608
666	3212	1603
667	3215	1598
668	3219	1592
669	3223	1587
670	3228	1582
671	3234	1578
672	3239	1573
673	3243	1568
674	3247	1563
675	3252	1558
676	3256	1553
677	3275	1555
678	3279	1550
679	3282	1544
680	3285	1539
681	3290	1534
682	3293	1528
683	3297	1523
684	3300	1517
685	3304	1512
686	3308	1507
687	3311	1501
688	3314	1496
