iter	RMSE
0	0.3902308986
1	0.3798368228
2	0.3698056655
3	0.3598903141
4	0.3503581854
5	0.3413347023
6	0.3328694974
7	0.3243688872
8	0.3166362843
9	0.3088605682
10	0.3014914146
11	0.2941254366
12	0.287222963
13	0.2803313672
14	0.2735590943
15	0.267240173
16	0.2616960467
17	0.2556354683
18	0.2501972526
19	0.2452286837
20	0.2397738669
21	0.2347408804
22	0.2308391861
23	0.2261820842
24	0.2216029906
25	0.217246444
26	0.213148287
27	0.2094175579
28	0.2058971305
29	0.2022021157
30	0.1989227958
31	0.1954251698
32	0.1924548415
33	0.1892544814
34	0.1867025652
35	0.1839182156
36	0.1814091601
37	0.178843204
38	0.176306168
39	0.1743075346
40	0.1719472932
41	0.169739367
42	0.1673286707
43	0.1655034079
44	0.163490641
45	0.1615213718
46	0.159790467
47	0.1579258467
48	0.1562886458
49	0.1547585537
50	0.1531891784
51	0.1515193513
52	0.1500538745
53	0.1486908081
54	0.1474764933
55	0.1462176048
56	0.1446390075
57	0.1434526379
58	0.1421815899
59	0.1412507125
60	0.1400750982
61	0.1391830914
62	0.138107099
63	0.1370279271
64	0.136066389
65	0.1348915007
66	0.1340271295
67	0.1331873203
68	0.1322633423
69	0.131451313
70	0.1305418039
71	0.1296665847
72	0.128878637
73	0.128132007
74	0.1275080383
75	0.1268973267
76	0.1262663623
77	0.125635385
78	0.1248102451
79	0.1239421371
80	0.1232852915
81	0.1225955322
82	0.1220630632
83	0.1213929506
84	0.1207836501
85	0.1202212794
86	0.1197069433
87	0.1191787572
88	0.1185481267
89	0.1180560943
90	0.1175634569
91	0.1169426291
92	0.1164502499
93	0.1159359499
94	0.1153991126
95	0.1148278872
96	0.114419189
97	0.1140772895
98	0.113607074
99	0.1131356703
100	0.1126836275
101	0.1123000167
102	0.1119361364
103	0.1116013821
104	0.1111690163
105	0.1107550347
106	0.1103191771
107	0.1100046426
108	0.1095873109
109	0.1092810481
110	0.1089083201
111	0.1085583957
112	0.1082014379
113	0.1077816132
114	0.1074171477
115	0.1072182435
116	0.1068714239
117	0.1065122636
118	0.1062470544
119	0.105879545
120	0.1055588532
121	0.1052156668
122	0.1048948479
123	0.1045542931
124	0.1043775878
125	0.1041442973
126	0.1038555136
127	0.1035814341
128	0.1033112033
129	0.1030597139
130	0.102747329
131	0.1024907825
132	0.1022242026
133	0.1019418588
134	0.1017562104
135	0.1015960886
136	0.1012492604
137	0.1009474407
138	0.1006790218
139	0.1004141549
140	0.1002407777
141	0.09992046256
142	0.09970645409
143	0.09952408058
144	0.09931239793
145	0.09906964234
146	0.09887025326
147	0.09855425523
148	0.09831773502
149	0.09820663702
150	0.09804881025
151	0.09788767287
152	0.09762721883
153	0.09741900981
154	0.09722610767
155	0.09699045521
156	0.09670560448
157	0.09653215222
158	0.09630935828
159	0.09606576988
160	0.09580013728
161	0.09569275578
162	0.09548356829
163	0.09529161222
164	0.09500212813
165	0.09488905461
166	0.09469256802
167	0.09451104339
168	0.09433646098
169	0.0941986133
170	0.09401316747
171	0.0938657143
172	0.09360828465
173	0.09335553691
174	0.09319407873
175	0.09303004384
176	0.09288299964
177	0.09269649205
178	0.09253449275
179	0.09228880056
180	0.09207051018
181	0.09204195978
182	0.09184986646
183	0.09170816205
184	0.09151048023
185	0.09136083641
186	0.09118638681
187	0.09100944824
188	0.09083977319
189	0.09075361953
190	0.0905705014
191	0.0904198162
192	0.09021189641
193	0.08999452081
194	0.08987224342
195	0.08980617839
196	0.0896584014
197	0.08945066604
198	0.0892638512
199	0.08911278079
200	0.08893321911
201	0.08879310673
202	0.08860060753
203	0.08845881884
204	0.08830940923
205	0.08827713214
206	0.08809531508
207	0.08796499497
208	0.08791160676
209	0.08778441656
210	0.08760028736
211	0.08746774812
212	0.08729924691
213	0.08724320695
214	0.08702864486
215	0.08698365556
216	0.08691677738
217	0.08671173916
218	0.08668367025
219	0.08665542685
220	0.0864988627
221	0.08630974098
222	0.08625533979
223	0.08622532497
224	0.08606379558
225	0.0859444182
226	0.0858422155
227	0.08574721452
228	0.08559830059
229	0.085439918
230	0.08529261312
231	0.08525154869
232	0.08521064871
233	0.08505419317
234	0.08492810656
235	0.08476899584
236	0.08472541966
237	0.08469184062
238	0.08466614385
239	0.08449354197
240	0.08429427627
241	0.08414875083
242	0.0841230856
243	0.08395840713
244	0.08387258597
245	0.08364182944
246	0.08343220226
247	0.08328654091
248	0.08318798949
249	0.0831173961
250	0.08294423079
251	0.08273422533
252	0.08258153038
253	0.08241838885
254	0.08233837796
255	0.08229637598
256	0.08219425485
257	0.08203677373
258	0.08192241667
259	0.08190238605
260	0.08187571558
261	0.08161646958
262	0.08145566186
263	0.08133721995
264	0.08126291994
265	0.08123685851
266	0.08110706007
267	0.08103482571
268	0.08095140883
269	0.08078896737
270	0.08074904972
271	0.08072471812
272	0.08060306758
273	0.0804885426
274	0.08036292077
275	0.08025548069
276	0.08012426213
277	0.07994204031
278	0.07982862904
279	0.07966990383
280	0.07957728789
281	0.07942955918
282	0.0792782365
283	0.07911080533
284	0.07908298567
285	0.07892716438
286	0.07877623376
287	0.07866524382
288	0.07856947905
289	0.07841273858
290	0.07838228292
291	0.0783638508
292	0.07834933447
293	0.07826410872
294	0.07806241351
295	0.07792031574
296	0.07778422578
297	0.07762373292
298	0.07756919458
299	0.07741396114
300	0.07740045191
301	0.07729937867
302	0.07718054005
303	0.07709367667
304	0.07698452124
305	0.07688745445
306	0.07674082314
307	0.07665333069
308	0.07654493449
309	0.07646836375
310	0.07631575955
311	0.07625740846
312	0.07618317433
313	0.07599336112
314	0.07594901707
315	0.0757730475
316	0.0756997716
317	0.0756875468
318	0.07550479716
319	0.07537548871
320	0.07527289163
321	0.07512540547
322	0.07510094497
323	0.07497315362
324	0.07479578118
325	0.07462849284
326	0.07452844643
327	0.07445013627
328	0.07438896626
329	0.07436889212
330	0.07423539177
331	0.07409696962
332	0.07403214611
333	0.07391231337
334	0.07386064269
335	0.0737308235
336	0.07360726534
337	0.07358296555
338	0.07351852435
339	0.07349729282
340	0.07335492239
341	0.07317649396
342	0.07302738124
343	0.0729345533
344	0.07284124381
345	0.07276406496
346	0.07263338204
347	0.07254833602
348	0.07244874026
349	0.07232552856
350	0.07225442315
351	0.0721121642
352	0.07199504227
353	0.07192551366
354	0.071808315
355	0.07166169847
356	0.07156249299
357	0.07142267354
358	0.07128035874
359	0.07122116394
360	0.07109170791
361	0.07099555211
362	0.07097919461
363	0.07081048055
364	0.07074631502
365	0.0707076904
366	0.07052111681
367	0.07042512238
368	0.07031371265
369	0.07018154359
370	0.07016183439
371	0.07003979629
372	0.06992837927
373	0.06979260659
374	0.06974826365
375	0.06962601876
376	0.06955371396
377	0.06942496541
378	0.0693801736
379	0.06925451447
380	0.06911156036
381	0.06898086606
382	0.06889368629
383	0.06887540582
384	0.06876812957
385	0.06869461493
386	0.06862653976
387	0.06861498504
388	0.06852516077
389	0.06840784342
390	0.06828012457
391	0.06826586908
392	0.0681449674
393	0.06801279
394	0.06792998975
395	0.06791578019
396	0.06778603518
397	0.06765729878
398	0.06756092674
399	0.0674556957
400	0.06740898987
401	0.067393462
402	0.06729794203
403	0.06723193582
404	0.06715569872
405	0.06703995107
406	0.06698242272
407	0.06697291723
408	0.06682607809
409	0.06681603245
410	0.06679509267
411	0.06678430913
412	0.0666608802
413	0.06653799643
414	0.06641287139
415	0.06640058285
416	0.06628508776
417	0.06627384248
418	0.0662670583
419	0.06618834698
420	0.06607700116
421	0.06596598049
422	0.06586388078
423	0.06576488528
424	0.06571991634
425	0.06571331226
426	0.06566997771
427	0.06558768297
428	0.06557972208
429	0.06544497016
430	0.06529303752
431	0.06528442797
432	0.06522715418
433	0.06512209598
434	0.06500593838
435	0.06499905868
436	0.06493330655
437	0.06486814988
438	0.06476126456
439	0.06470039507
440	0.06469047629
441	0.06465798823
442	0.06456607356
443	0.06455307546
444	0.06454512838
445	0.06446942364
446	0.06439008917
447	0.06437872789
448	0.06437286343
449	0.06436400092
450	0.06435801436
451	0.06428931263
452	0.06421102835
453	0.06420358745
454	0.06411916054
455	0.06408025456
456	0.06407378694
457	0.0640671182
458	0.06395226135
459	0.06392076552
460	0.06382770915
461	0.06365671036
462	0.06364745799
463	0.06363569472
464	0.06355097302
465	0.06352011083
466	0.06348073126
467	0.06337999062
468	0.06326734762
469	0.06318117566
470	0.06307575661
471	0.0630359656
472	0.06302837457
473	0.06294622312
474	0.06293951903
475	0.06279879386
476	0.06271308102
477	0.06260173896
478	0.06253273509
479	0.06249333034
480	0.06239750034
481	0.06234031248
482	0.06223089436
483	0.06222417106
484	0.06221959765
485	0.06213697775
486	0.06207673373
487	0.06196265128
488	0.06188810533
489	0.06178161564
490	0.06168387475
491	0.06157470476
492	0.06149405278
493	0.0614888429
494	0.06138337605
495	0.06126542738
496	0.06120933348
497	0.0610730088
498	0.06095973756
499	0.06088234701
500	0.06087777874
501	0.06078812334
502	0.0606825049
503	0.06060001005
504	0.06052844865
505	0.06043251535
506	0.06031915701
507	0.06023595833
508	0.06014712578
509	0.06010329319
510	0.06000551968
511	0.05992303271
512	0.05991873122
513	0.0598060991
514	0.05970882611
515	0.05960990888
516	0.05951463016
517	0.05945904326
518	0.0593586726
519	0.0593295702
520	0.05932560697
521	0.05923724827
522	0.05915443154
523	0.05914882714
524	0.0591142095
525	0.05911080348
526	0.05901976339
527	0.05901487772
528	0.0589336378
529	0.05883809539
530	0.05883264018
531	0.05876610613
532	0.05868574828
533	0.05867872709
534	0.05863144121
535	0.0585791481
536	0.05852487875
537	0.05847331613
538	0.05837626511
539	0.05833828617
540	0.05824625013
541	0.05823944822
542	0.05813805253
543	0.05808167604
544	0.05807731701
545	0.05798004903
546	0.05796824483
547	0.05782421467
548	0.05770390858
549	0.05767401046
550	0.05757934996
551	0.05752155714
552	0.05738802165
553	0.05734703337
554	0.05725182582
555	0.05722806794
556	0.05715706224
557	0.05705966672
558	0.05698228938
559	0.0569024062
560	0.05684800185
561	0.05681270387
562	0.05680938437
563	0.05667589783
564	0.05656204565
565	0.05650772828
566	0.05648243002
567	0.0564509743
568	0.05640100425
569	0.056313751
570	0.05625124097
571	0.05617196119
572	0.05609596776
573	0.05600630634
574	0.05592470684
575	0.05582570277
576	0.05582042032
577	0.05574717381
578	0.0556217592
579	0.05554519649
580	0.05540389683
581	0.05533940461
582	0.05524936625
583	0.05519323079
584	0.05512001709
585	0.05501653633
586	0.05496306028
587	0.05488175752
588	0.05484117322
589	0.05482986229
590	0.05472798884
591	0.05462382285
592	0.05455623204
593	0.05451303333
594	0.05447759201
595	0.05447068058
596	0.05438837978
597	0.05430962633
598	0.05422299873
599	0.05415205261
600	0.0541173797
601	0.0540193921
602	0.05395076868
603	0.0539437989
604	0.05383477359
605	0.05383011175
606	0.05377589299
607	0.05368845005
608	0.05356581107
609	0.05356142483
610	0.05350543576
611	0.05340879913
612	0.05333334306
613	0.05326211248
614	0.05325833261
615	0.05318165928
616	0.05310511647
617	0.05306395732
618	0.05301088625
619	0.05298814528
620	0.05290100123
621	0.05285897185
622	0.05285442813
623	0.05278040412
624	0.05267501626
625	0.05260784776
626	0.052602464
627	0.05250920504
628	0.0524788802
629	0.05242365898
630	0.05235443925
631	0.05231929408
632	0.05224383775
633	0.05219510925
634	0.05213955885
635	0.05213567398
636	0.05203557148
637	0.05196923722
638	0.05196523435
639	0.05190615024
640	0.05180305861
641	0.05173005257
642	0.05165058557
643	0.05164599147
644	0.05154733475
645	0.05147284833
646	0.0514686559
647	0.05143866184
648	0.05139170565
649	0.05133005863
650	0.0513024095
651	0.05129680879
652	0.05122611273
653	0.05122314341
654	0.05115398395
655	0.05109138811
656	0.05103904843
657	0.05097277279
658	0.05089819731
659	0.05086843231
660	0.05077966241
661	0.05068217985
662	0.05063797289
663	0.05056121959
664	0.05047049773
665	0.05040095205
666	0.05030558919
667	0.05028181647
668	0.05021612312
669	0.05013835698
670	0.05013489957
671	0.05004390102
672	0.04999667748
673	0.04999370844
674	0.04997169972
675	0.04995281447
676	0.04994931512
677	0.0499468109
678	0.04987785336
679	0.04984116221
680	0.04976373228
681	0.04971065986
682	0.04963001125
683	0.04958944319
684	0.04950383902
685	0.04949951992
686	0.04941454231
687	0.04941168155
688	0.04930607387
689	0.04922431956
690	0.04914364438
691	0.04914113497
692	0.04907277799
693	0.04903498777
694	0.04903061021
695	0.04895124253
696	0.04888145247
697	0.04875135836
698	0.04866432618
699	0.04858807781
700	0.0485847129
701	0.04855317799
702	0.04847871038
703	0.04842059188
704	0.04835909328
705	0.04830475553
706	0.04823226407
707	0.04821213601
708	0.04818085478
709	0.04811121939
710	0.04804714634
711	0.04795748059
712	0.04783679333
713	0.04778915082
714	0.04775556666
715	0.04768416327
716	0.04764297369
717	0.04756760011
718	0.04752867303
719	0.04747798719
720	0.04738097923
721	0.0472701911
722	0.04717817564
723	0.04711724857
724	0.04709096442
725	0.0470355361
726	0.04695610259
727	0.0468755587
728	0.0468075504
729	0.04674692239
730	0.04666831596
731	0.04660274186
732	0.04655913658
733	0.04654451132
734	0.0464753412
735	0.04641046925
736	0.0463710736
737	0.04630390551
738	0.04630055871
739	0.04621444372
740	0.04615192385
741	0.04611249679
742	0.04605161203
743	0.04599668091
744	0.04592780073
745	0.04584112211
746	0.04578801409
747	0.0457859877
748	0.04570727297
749	0.04565822561
750	0.04561951254
751	0.04555203343
752	0.04548993362
753	0.04541908009
754	0.04541713868
755	0.04534321373
756	0.04529396703
757	0.0452279773
758	0.04519174168
759	0.04516208752
760	0.04513848746
761	0.04512997393
762	0.04512748174
763	0.04512511883
764	0.04512107309
765	0.04508442756
766	0.04500502379
767	0.04493859935
768	0.04486235689
769	0.0448023212
770	0.04475019306
771	0.04468120087
772	0.04461359869
773	0.04456623302
774	0.04454722969
775	0.04454369651
776	0.04446175093
777	0.04445854305
778	0.04439773742
779	0.04438245814
780	0.0442888034
781	0.04428643979
782	0.0442845897
